name,url,category,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,crystal class symbol,H-M symbol,color,cleavage,mohs,streak,gravity,luster,habit,varieties,summary
Stellerite,https://en.wikipedia.org/wiki/Stellerite,Zeolite mineral,Ca(Al2Si7O18)•7H20,Ca(Al<sub>2</sub>Si<sub>7</sub>O<sub>18</sub>)•7H<sub>2</sub>0,Ste,9.GE.15,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,"Colorless to white, pink, orange",Perfect on {010},4.5,white,approximately 2.2,Pearly,"Spherical, Stellate, Tabular",,"Stellerite is a rare mineral discovered by and named after Georg Wilhelm Steller, a German explorer and zoologist. The mineral has a general formula of Ca[Al2Si7O18]·7H2O. Like most rare minerals, there are few commercial uses for stellerite. Mineral collectors are lucky to find it in good enough crystal form. Zeolites, including stellerite, have been studied using a dehydration process to gauge the potential use of their phases as molecular sieves, sorbents, and catalysts."
Stephanite,https://en.wikipedia.org/wiki/Stephanite,Sulfosalt mineral,Ag5SbS4,Ag<sub>5</sub>SbS<sub>4</sub>,Sph,2.GB.10,Orthorhombic,Pyramidal,mm2,mm2,,"Imperfect on {010}, poor on {021}",2.0 - 2.5,Iron black,6.26,,"Tabular, pseudo-hexagonal crystals; massive",,"Stephanite is a silver antimony sulfosalt mineral with formula: Ag5SbS4. It is composed of 68.8% silver, and sometimes is of importance as an ore of this metal."
Stercorite,https://en.wikipedia.org/wiki/Stercorite,Phosphate minerals,(NH4)NaHPO4,(NH<sub>4</sub>)NaHPO<sub>4</sub>,Stc,8.CJ.05,Triclinic,Pinacoidal,1,1,,,2,,,Vitreous,,,"Stercorite is the mineral form of microcosmic salt. The name comes from the Latin ""stercus"", meaning dung, since the mineral was originally discovered among guano."
Stibarsen,https://en.wikipedia.org/wiki/Stibarsen,Arsenic minerals,AsSb,AsSb,Sbr,,Trigonal,Hexagonal scalenohedral,3m,3 2/m,"White, gray, grayish white, reddish white",Perfect,3–4,grayish-black,5.8–6.2 (meas.); 6.37 (calc.),Metallic,"Reniform (""kidney like"")",,"Stibarsen or allemontite is a natural form of arsenic antimonide (AsSb) or antimony arsenide (SbAs). The name stibarsen is derived from Latin stibium (antimony) and arsenic, whereas allemonite refers to the locality Allemont in France where the mineral was discovered. It is found in veins at Allemont, Isère, France; Valtellina, Italy; and the Comstock Lode, Nevada; and in a lithium pegmatites at Varuträsk, Sweden. Stibarsen is often mixed with pure arsenic or antimony, and the original description in 1941 proposed to use stibarsen for AsSb and allemontite for the mixtures. Since 1982, the International Mineralogical Association considers stibarsen as the correct mineral name."
Stibiconite,https://en.wikipedia.org/wiki/Stibiconite,Oxide minerals,Sb3+Sb5+2O6(OH),Sb<sup>3+</sup>Sb<sup>5+</sup><sub>2</sub>O<sub>6</sub>(OH),Sbc,4.DH.20,Isometric,Hexoctahedral,m3m,4/m 3 2/m,"Pale yellow to yellowish white, reddish white, orange; gray, brown, black when impure",None,4-5,light yellow,"4.1 - 5.8, Average = 4.94",Vitreous - dull,"Massive, botryoidal, as incrustations, powdery",,"Stibiconite is an antimony oxide mineral with formula: Sb3O6(OH). Its name originates from Greek ""stibi"" (antimony) and ""konis"" (powder), alluding to its composition and habit. It is a member of the pyrochlore super group."
Stibiopalladinite,https://en.wikipedia.org/wiki/Stibiopalladinite,Sulfide mineral,Pd5Sb2,Pd<sub>5</sub>Sb<sub>2</sub>,Stpdn,2.AC.20a,Hexagonal,Dihexagonal pyramidal,6mm,6mm,"Silver, white to steel-gray",,4 - 5,Black,,Metallic,,,Stibiopalladinite is a mineral containing the chemical elements palladium and antimony. Its chemical formula is Pd5Sb2. It is a silvery white to steel grey opaque mineral crystallizing in the hexagonal crystal system.
Stibnite,https://en.wikipedia.org/wiki/Stibnite,Sulfide mineral,Sb2S3,Sb<sub>2</sub>S<sub>3</sub>,Sbn,2.DB.05a,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,"Lead-gray, tarnishing blackish or iridescent; in polished section, white",Perfect and easy on {010}; imperfect on {100} and {110},2,Lead grey,4.63,"Splendent on fresh crystals surfaces, otherwise metallic","Massive, radiating and elongated crystals. Massive and granular","Metastibnite (Earthy, reddish deposits)","Stibnite, sometimes called antimonite, is a sulfide mineral with the formula Sb2S3.  This soft grey material crystallizes in an orthorhombic space group.  It is the most important source for the metalloid antimony. The name is derived from the Greek στίβι stibi through the Latin stibium as the former name for the mineral and the element antimony."
Stichtite,https://en.wikipedia.org/wiki/Stichtite,Carbonate minerals,Mg6Cr2CO3(OH)16·4H2O,Mg<sub>6</sub>Cr<sub>2</sub>CO<sub>3</sub>(OH)<sub>16</sub>·4H<sub>2</sub>O,Stt,5.DA.50,Trigonal,Hexagonal scalenohedral,3m,3 2/m,,Perfect on {0001},1.5 - 2,Very pale lilac to white,2.16,,Fibrous to platy aggregates,,"Stichtite is a mineral, a carbonate of chromium and magnesium; formula Mg6Cr2CO3(OH)16·4H2O.   Its colour ranges from pink through lilac to a rich purple colour.   It is formed as an alteration product of chromite containing serpentine. It occurs in association with barbertonite (the hexagonal polymorph of Mg6Cr2CO3(OH)16·4H2O), chromite and antigorite."
Stilbite,https://en.wikipedia.org/wiki/Stilbite,"Tectosilicate, Zeolite",Stilbite-Ca: NaCa4(Si27Al9)O72·28(H2O)Stilbite-Na: Na9(Si27Al9)O72·28(H2O),Stilbite-Ca:NaCa<sub>4</sub>(Si<sub>27</sub>Al<sub>9</sub>)O<sub>72</sub>·28(H<sub>2</sub>O)<br/>Stilbite-Na:Na<sub>9</sub>(Si<sub>27</sub>Al<sub>9</sub>)O<sub>72</sub>·28(H<sub>2</sub>O),Stb,9.GE.10,"Monoclinic,",Prismatic,2/m,2/m,"Usually colorless, white or pink",Perfect  on {010},3+1⁄2 to 4,White,2.12 to 2.22,"Vitreous, pearly on {010}","Thin tabular, aggregates sheaf-like or in bow-ties, also fibrous and globular.",,[10]
Stilleite,https://en.wikipedia.org/wiki/Stilleite,Selenide mineral,ZnSe,ZnSe,Sll,2.CB.05a,Cubic,Hextetrahedral,43m,4 3m,Gray,,5,,5.42,Metallic,,,"Stilleite is a selenide mineral, zinc selenide, with the formula ZnSe. It has been found only as microscopic gray crystals occurring as inclusions in linnaeite associated with other selenide and sulfides. It was originally discovered in Katanga Province, Zaire in 1956 and is named for the German geologist, Hans Stille (1876–1966)."
Stillwaterite,https://en.wikipedia.org/wiki/Stillwaterite,Arsenide mineral,Pd8As3,Pd<sub>8</sub>As<sub>3</sub>,Slw,2.AC.10a,Trigonal,Pyramidal (3)  or rhombohedral (3),,3 or 3,light creamy gray,,4.5,,,metallic,microscopic crystals,,"The palladium arsenide mineral Stillwaterite has a general formula of Pd8As3.  Stillwaterite was first discovered in the Banded and Upper zones of the Stillwater igneous complex in Montana, United States, and has been reported in the Lac-des-Iles area of Ontario, Canada.  Outside of North America, this rare mineral has been found in northern Finland."
Stillwellite-(Ce),https://en.wikipedia.org/wiki/Stillwellite-(Ce),Silicate mineral,"(Ce,La,Ca)BSiO5","(Ce,La,Ca)BSiO<sub>5</sub>",Swl,9.AJ.25,Trigonal,Pyramidal,3,3,Red-brown to pale pink,Imperfect,6.5,White,4.57–4.6,Resinous,"Flat rhombohedral crystals, massive",,"Stillwellite-(Ce) is a rare-earth boro-silicate mineral with chemical formula (Ce,La,Ca)BSiO5."
Stilpnomelane,https://en.wikipedia.org/wiki/Stilpnomelane,Phyllosilicates Smectite group,"K(Fe2+,Mg,Fe3+)8(Si,Al)12(O,OH)27·n(H2O)","K(Fe<sup>2+</sup>,Mg,Fe<sup>3+</sup>)<sub>2</sub>O)",Stp,9.EG.40,Triclinic,Pinacoidal,1,1,"Black, greenish black, yellowish bronze, greenish bronze","Perfect on {001}, imperfect on {010}",3 - 4,Gray white,2.77 - 2.96,Vitreous to dull,"Platey, scaly and fibrous with comb structures; radiating groups",,"Stilpnomelane is a phyllosilicate mineral. It has the chemical formula K(Fe2+,Mg,Fe3+)8(Si,Al)12(O,OH)27·n(H2O)."
Stishovite,https://en.wikipedia.org/wiki/Stishovite,"Tectosilicate, quartz group",SiO2,SiO<sub>2</sub>,Sti,4.DA.40,Tetragonal,Ditetragonal dipyramidal,4/mmm,4/m 2/m 2>/m,Colorless (when pure),,9.5,,4.35 (synthetic) 4.29 (calculated),Vitreous,,,"Stishovite is an extremely hard, dense tetragonal form (polymorph) of silicon dioxide.  It is very rare on the Earth's surface; however, it may be a predominant form of silicon dioxide in the Earth, especially in the lower mantle."
Stolzite,https://en.wikipedia.org/wiki/Stolzite,Tungstate minerals,PbWO4,PbWO<sub>4</sub>,Sz,7.GA.05,Tetragonal,Dipyramidal,4/m,4/m,"Reddish brown, brown, yellowish gray, smoky gray, straw-yellow, lemon-yellow; may be green, orange, red","Imperfect on {001}, indistinct on {011}",2.5 - 3,White,8.34,"Resinous, subadamantine",Crystals dipyramidal to tabular,,"Stolzite is a mineral, a lead tungstate; with the formula PbWO4.  It is similar to, and often associated with, wulfenite which is the same chemical formula except that the tungsten is replaced by molybdenum.  Stolzite crystallizes in the tetragonal crystal system and is dimorphous with the monoclinic form raspite."
Strashimirite,https://en.wikipedia.org/wiki/Strashimirite,Arsenate mineral,Cu8(AsO4)4(OH)4·5(H2O),Cu<sub>8</sub>(AsO<sub>4</sub>)<sub>4</sub>(OH)<sub>4</sub>·5(H<sub>2</sub>O),Ssh,8.DC.12,Monoclinic,Unknown space group,,,"White, pale green",Parting at right angle to elongation,2.5 - 3,,3.67 (calculated),"Greasy, pearly","Elongated, tabular crystals; crusts; radiating aggregates",,"Strashimirite (IMA symbol: Ssh) is a rare monoclinic mineral containing arsenic, copper, hydrogen, and oxygen. It has the chemical formula Cu8(AsO4)4(OH)4·5(H2O)."
Strengite,https://en.wikipedia.org/wiki/Strengite,Mineral,FePO4 · 2H2O,FePO<sub>4</sub>·2H<sub>2</sub>O,Stg,8.CD.10,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,"Colorless, pale violet, deep violet, red, carmine red, greenish white","{010} Good, {001} Poor",3+1⁄2 - 4,White,2.84,Vitreous,"Botryoidal, radial, spherical",,"Strengite is a relatively rare iron phosphate mineral with the formula: FePO4 · 2H2O. The mineral is named after the German mineralogist Johann August Streng (1830–1897). Lavender, pink or purple in hue, it is similar to variscite and is partially soluble, particularly in conditions where there is a low pH and low oxidation-reduction potential."
Stromeyerite,https://en.wikipedia.org/wiki/Stromeyerite,Sulfide minerals,AgCuS,AgCuS,Smy,2.BA.40,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,,,,,,,,,"Stromeyerite is a sulfide mineral of copper and silver, with the chemical formula AgCuS. It forms opaque blue grey to dark blue orthorhombic crystals."
Strontianite,https://en.wikipedia.org/wiki/Strontianite,Carbonate minerals,SrCO3,SrCO<sub>3</sub>,Str,5.AB.15,Orthorhombic,Dipyramidal,mmm,2/m 2/m 2/m,"Colourless, white, gray, light yellow, green or brown; colourless in transmitted light","{110} nearly perfect, {021} poor, {010} traces",3+1⁄2,White,3.74 to 3.78 Transparent versions are heavier than the other ones,,"Prismatic, acicular, pseudo hexagonal, columnar to fibrous, granular, massive",,
Struvite,https://en.wikipedia.org/wiki/Struvite,Phosphate mineral,NH4MgPO4·6H2O,NH<sub>4</sub>MgPO<sub>4</sub>·6H<sub>2</sub>O,Suv,8.CH.40,Orthorhombic,Pyramidal,mm2,mm2,"Colorless, white (dehydrated), yellow or brownish, light gray",{100} perfect,1.5–2,White,1.7,Vitreous to dull,Euhedral to platy,,"Struvite (magnesium ammonium phosphate) is a phosphate mineral with formula: NH4MgPO4·6H2O. Struvite crystallizes in the orthorhombic system as white to yellowish or brownish-white pyramidal crystals or in platy mica-like forms. It is a soft mineral with Mohs hardness of 1.5 to 2 and has a low specific gravity of 1.7. It is sparingly soluble in neutral and alkaline conditions, but readily soluble in acid."
Studenitsite,https://en.wikipedia.org/wiki/Studenitsite,Phylloborates,NaCa2[B9O14(OH4)]·2H2O,NaCa<sub>2</sub>[B<sub>9</sub>O<sub>14</sub>(OH<sub>4</sub>)]·2H<sub>2</sub>O,Sdn,6.GB.05,Monoclinic,Prismatic,2/m,2/m,Colorless to light dirty-yellow and light grey,,5.5–6,White,2.29,Vitreous,Clusters of flattened wedge-shaped crystals,,Studenitsite is a rare borate mineral with chemical formula of NaCa2[B9O14(OH)4]·2H2O.
Studtite,https://en.wikipedia.org/wiki/Studtite,Oxide mineral,UO2O2·4(H2O),UO<sub>2</sub>O<sub>2</sub>·4(H<sub>2</sub>O),Stu,4.GA.15,Monoclinic,Prismatic,2/m,2/m,Yellow to pale yellow; nearly colorless in transmitted light,,1 - 2,Light yellow,3.58,"Vitreous, waxy",Needlelike crystals in radial fibrous aggregates and crusts,,"Studtite, chemical formula [(UO2)O2(H2O)2]·2(H2O) or UO4·4(H2O), is a secondary uranium mineral containing peroxide formed by the alpha-radiolysis of water during formation. It occurs as pale yellow to white needle-like crystals often in acicular, white sprays."
Sturmanite,https://en.wikipedia.org/wiki/Sturmanite,Sulfate minerals,Ca6Fe3+2(SO4)2.5[B(OH)4](OH)12 · 25 H2O,Ca<sub>6</sub>Fe<sup>3+</sup><sub>2</sub>(SO<sub>4</sub>)<sub>2.5</sub>[B(OH)<sub>4</sub>](OH)<sub>12</sub>·25H<sub>2</sub>O,Strm,7.DG.15,Trigonal,3m - Ditrigonal Pyramidal,,,Bright yellow to amber,Perfect {1010},2.5,"Pale yellow, greenish yellow, brownish orange",1.847 (measured)1.855 (calculated),"Vitreous, greasy","Hexagonal, pyramidal, prismatic",,"Sturmanite is a rare sulfate mineral with the chemical formula Ca6Fe3+2(SO4)2.5(B(OH)4)(OH)12 · 25 H2O. It crystallises in the tetragonal system and it has a Moh's hardness of 2.5. Sturmanite has a bright yellow to amber colour and falls in the ettringite group. It was named after Bozidar Darko Sturman (born 1937), Croatian-Canadian mineralogist and Curator Emeritus of Mineralogy, Royal Ontario Museum."
Stützite,https://en.wikipedia.org/wiki/St%C3%BCtzite,Telluride mineral,Ag5−xTe3 (with x = 0.24 to 0.36),Ag<sub>5−x</sub>Te<sub>3</sub><sub>(withx=0.24to0.36)</sub>,Stz,2.BA.30e,Hexagonal,Dihexagonal dipyramidal,6/mmm,6/m 2/m 2/m,Dark lead-gray,None observed,3.5,,8.0,Metallic,"Massive, compact, granular",,Stützite or stuetzite is a silver telluride mineral with formula: Ag5−xTe3 (with x = 0.24 to 0.36) or Ag7Te4.
Suanite,https://en.wikipedia.org/wiki/Suanite,Borate mineral,Mg2B2O5,Mg<sub>2</sub>B<sub>2</sub>O<sub>5</sub>,,6.BA.05,Monoclinic,Prismatic,2/m,2/m,White to pale gray,Perfect parallel to {010},5.5,White,2.91,Silky to pearly,Clusters of prismatic to fibrous crystals,,Suanite is a magnesium borate mineral with formula Mg2B2O5.
Suessite,https://en.wikipedia.org/wiki/Suessite,Iron silicide,Fe3Si,Fe<sub>3</sub>Si,Sss,1.BB.05,Cubic,Hexoctahedral,m3m,4/m 3 2/m,"Cream white in reflected light, Terrestrial is light gray with a yellow tint",None,,,6.34,,"forms oval accumulations, polycrystalline aggregates",,"degree of disorder = 11%,Curie point = 550°C,magnetic moment = 4.6 μB,"
Sugilite,https://en.wikipedia.org/wiki/Sugilite,Cyclosilicate,"KNa2(Fe,Mn,Al)2Li3Si12O30","KNa<sub>2</sub>(Fe,Mn,Al)<sub>2</sub>Li<sub>3</sub>Si<sub>12</sub>O<sub>30</sub>",Sug,9.CM.05,Hexagonal,Dihexagonal dipyramidal,6/mmm,6/m 2/m 2/m,"Light brownish-yellow, purple, violet, reddish violet, pale pink, colorless",Poor on {0001},6–6+1⁄2,White,2.74,Vitreous,"Prismatic crystals, typically granular to massive",,
Sulfur,https://en.wikipedia.org/wiki/Sulfur,,,,,,,,,,,,2.0 ,,,,,,
Sursassite,https://en.wikipedia.org/wiki/Sursassite,Sorosilicate,Mn2+2Al3(SiO4)(Si2O7)(OH)3,Mn<sup>2+</sup><sub>2</sub>Al<sub>3</sub>(SiO<sub>4</sub>)(Si<sub>2</sub>O<sub>7</sub>)(OH)<sub>3</sub>,Ss,9.BG.15,Monoclinic,Prismatic,2/m,2/m,Red-brown to copper-red,[101] Distinct,3,yellow-brown,,"Silky, Dull",Botryoidal,,"Sursassite is a sorosilicate mineral. It was first discovered in 1926. It was first found in the Sursass (Oberhalbstein), a district of Graubünden, Switzerland. It is generally found in deposits of metamorphosed manganese."
Susannite,https://en.wikipedia.org/wiki/Susannite,Carbonate minerals,Pb4SO4(CO3)2(OH)2,Pb<sub>4</sub>SO<sub>4</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Sus,5.BF.40,Trigonal,Rhombohedral,3,3,"Colorless, white, pale green, pale yellow, brown",{0001} perfect,2.5 - 3,,6.55,"Adamantine, resinous",Occurs as equant to acute rhombohedral crystals,,Susannite is a lead sulfate carbonate hydroxide mineral. It has the formula Pb4SO4(CO3)2(OH)2. Susannite is the higher temperature phase of the two and forms above 80 °C when fluids oxidize the lead ore deposits. It is trimorphous with leadhillite and macphersonite.
Sussexite,https://en.wikipedia.org/wiki/Sussexite,Nesoborates,MnBO2(OH),MnBO<sub>2</sub>(OH),Ssx,6.BA.15,Monoclinic,Prismatic,2/m,2/m,"White to buff, lilac/lavender, pale pink, colorless in transmitted light",,,,3.30,"Silky, dull(earthy)","As bladed acicular crystals, to 7 mm; cross-vein or radial fibrous, in felted or matted aggregates, nodular.",,"Sussexite is a manganese borate mineral MnBO2(OH). Crystals are monoclinic prismatic and typically fibrous in occurrence. Colour is white, pink, yellowish white with a pearly lustre. It has a Mohs hardness of 3 and a specific gravity of 3.12."
Svanbergite,https://en.wikipedia.org/wiki/Svanbergite,Phosphate minerals,SrAl3(PO4)(SO4)(OH)6,SrAl<sub>3</sub>(PO<sub>4</sub>)(SO<sub>4</sub>)(OH)<sub>6</sub>,Svb,8.BL.05,Trigonal,Hexagonal scalenohedral,3m,3 2/m,"Colorless, cream-yellow, rose, reddish brown",Distinct on  {0001},5,,3.22,Vitreous to adamantine,"Rhombohedral crystals (to pseudocubic); granular, massive",,"Svanbergite is a colorless, yellow or reddish mineral with the chemical formula SrAl3(PO4)(SO4)(OH)6. It has rhombohedral crystals."
Sweetite,https://en.wikipedia.org/wiki/Sweetite,Hydroxide mineral,Zn(OH)2,Zn(OH)<sub>2</sub>,Sw,4.FA.10,Tetragonal,Trapezohedral,422,422,"Colorless, white",None,3,White,3.33,Vitreous,Bipyramidal,,"Sweetite has a general formula of Zn(OH)2. The name is given after a curator of mineral department of The British Museum, Jessie May Sweet (1901–1979). It occurs in an oxidized vein in limestone bedrock with galena, ashoverite, wülfingite, anglesite, cerussite, hydrocerussite, litharge, fluorite, palygorskite and calcite."
Switzerite,https://en.wikipedia.org/wiki/Switzerite,Phosphate minerals,"(Mn,Fe)3(PO4)2·7H2O","(Mn,Fe)<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·7H<sub>2</sub>O",,8.CE.25,Monoclinic,Prismatic,2/m,2/m,"Pale pink, Pinkish brown",Perfect (001) Cleavage,2,White,,Pearly,,,"Switzerite is a mineral with the chemical formula of (Mn)3(PO4)2·7H2O. The mineral was named after George Switzer, former Curator of Minerals at the US National Museum.The mineral is monoclinic prismatic, meaning that it has one mirror plane, one 2-fold rotation axis which is perpendicular to the mirror plane and a center of symmetry. Switzerite is a part of the monoclinic space group P 21/a. For its optical properties, Switzerite is classified as anisotropic, has a low surface relief and birefringence of δ = 0.020."
Sylvanite,https://en.wikipedia.org/wiki/Sylvanite,Telluride mineral,"(Ag,Au)Te2","(Ag,Au)Te<sub>2</sub>",Syv,2.EA.05,Monoclinic,Prismatic,2/m,2/m,"Silver-grey, silver-white",Perfect on the {010},1.5–2,Steel grey,8.2,Metallic,Massive to crystalline,,"Sylvanite or silver gold telluride, chemical formula (Ag,Au)Te2, is the most common telluride of gold."
Sylvite,https://en.wikipedia.org/wiki/Sylvite,Halide mineral,KCl,KCl,Syl,3.AA.20,Isometric,Hexoctahedral,m3m,4/m 3 2/m,"Colorless to white, pale gray, pale blue; may be yellowish redto red due to hematite inclusions","Perfect	on [100], [010], [001]",2,white,1.993,Vitreous,"As cubes and octahedra; columnar, in crusts, coarse granular, massive",,"Sylvite, or sylvine, is potassium chloride (KCl) in natural mineral form. It forms crystals in the isometric system very similar to normal rock salt, halite (NaCl). The two are, in fact, isomorphous. Sylvite is colorless to white with shades of yellow and red due to inclusions. It has a Mohs hardness of 2.5 and a specific gravity of 1.99. It has a refractive index of 1.4903. Sylvite has a salty taste with a distinct bitterness."
Synchysite-(Ce),https://en.wikipedia.org/wiki/Synchysite-(Ce),Mineral,"Ca(Ce,La)(CO3)2F","Ca(Ce,La)(CO<sub>2</sub>F",Syn-Ce,5.BD.20c,Monoclinic,Prismatic,2/m,2/m,,,4.5,,,Vitreous,,,"Synchysite-(Ce) is a carbonate mineral and an end member of the synchysite group. The general chemical formula is Ca(Ce,La)(CO3)2F."
Syngenite,https://en.wikipedia.org/wiki/Syngenite,Sulfate mineral,K2Ca(SO4)2·H2O,K<sub>2</sub>Ca(SO<sub>4</sub>)<sub>2</sub>·H<sub>2</sub>O,Sgn,7.CD.35,Monoclinic,Prismatic,2/m,2/m,"Colorless, milky white to faintly yellow due to inclusions","Perfect on {110} and {100}, distinct on {010}",2.5,White,2.579–2.603,Vitreous,"Tabular to prismatic crystals, lamellar aggregates and crystalline crusts",,Syngenite is an uncommon potassium calcium sulfate mineral with formula K2Ca(SO4)2·H2O. It forms as prismatic monoclinic crystals and as encrustations.
Szenicsite,https://en.wikipedia.org/wiki/Szenicsite,Mineral,Cu3(MoO4)(OH)4,Cu<sub>3</sub>(MoO<sub>4</sub>)(OH)<sub>4</sub>,Sze,7.GB.10,Orthorhombic,Dipyramidal,,mmm,Dark green,Good on {100} and {010},3.5 - 4,Green,4.26,"Adamantine, Pearly",,,"Szenicsite is a copper hydroxy molybdate mineral, named after husband and wife Terry and Marissa Szenics, American mineral collectors who found the first specimens. When it was first discovered in Atacama, Chile, it was thought to be lindgrenite.  The occurrence appeared in an isolated area, which was about one cubic meter in size. The mineral occurred in cavities of copper bearing powellite and matrix rich molybdenite. These cavities were filled with a material resembling clay. Outside of the zone the szenicsite crystals grew, copper levels seemed to decrease, and the mineralization changed to lindgrenite. Moving further from the zone, the minerals growing seemed to be lacking copper, and consisted of powellite blebs in the ore. Szenicsite was approved by the IMA in 1993."
Taaffeite,https://en.wikipedia.org/wiki/Taaffeite,Oxide minerals,BeMgAl4O8,BeMgAl<sub>4</sub>O<sub>8</sub>,Tf,4.FC.25,Hexagonal,Dihexagonal pyramidal (6mm) Trigonal dipyramidal (3m) (magnesiotaaffeite-6N'3S and ferrotaaffeite-6N'3S),,,"Colorless, greyish violet, violet red, red, greenish, light green, pink violet, mauve",Imperfect/fair/absent,8–8.5,White,3.60–3.61,Vitreous,"Prismatic, alluvial grains",,"Taaffeite (/ˈtɑːfaɪt/; BeMgAl4O8) is a mineral, named after its discoverer Richard Taaffe (1898–1967) who found the first sample, a cut and polished gem, in October 1945 in a jeweler's shop in Dublin, Ireland. As such, it is the only gemstone to have been initially identified from a faceted stone. Most pieces of the gem, prior to Taaffe, had been misidentified as spinel. For many years afterwards, it was known only in a few samples, and it is still one of the rarest gemstone minerals in the world."
Tachyhydrite,https://en.wikipedia.org/wiki/Tachyhydrite,Halide minerals,CaMg2Cl6·12H2O,CaMg<sub>2</sub>Cl<sub>6</sub>·12H<sub>2</sub>O,Thy,3.BB.35,Trigonal,Rhombohedral 3,,3,"Colorless, light yellow",,,,,vitreous,,,"Tachyhydrite is an unstable mineral, a hydrous chloride of calcium and magnesium with formula: CaMg2Cl6·12H2O.  It is a rare component of marine evaporite salt deposits.  Upon exposure to moist air it rapidly deliquesces and dissolves."
Taenite,https://en.wikipedia.org/wiki/Taenite,Metals and intermetallic alloys,"γ-(Ni,Fe)","γ-(Ni,Fe)",Tae,1.AE.10,Isometric,Hexoctahedral,m3m,4/m 3 2/m,metallic grayish to white,None,5-5.5,light gray,7.8–8.22,metallic,,,"Taenite is a mineral found naturally on Earth mostly in iron meteorites.  It is an alloy of iron and nickel, with a chemical formula of Fe,Ni and nickel proportions of 20% up to 65%."
Taikanite,https://en.wikipedia.org/wiki/Taikanite,Silicate mineral,Sr3BaMn2+2(Si4O12)O2,Sr<sub>3</sub>BaMn<sup>2+</sup><sub>2</sub>(Si<sub>4</sub>O<sub>12</sub>)O<sub>2</sub>,Tka,9.DH.25,Monoclinic,,,,"Emerald green, blackish-green",,6 to 7,,,Vitreous,,,"Taikanite is a silicate mineral. It was named after the Taikan Range, Russia, its type locality."
Talc,https://en.wikipedia.org/wiki/Talc,Silicate mineral,Mg3Si4O10(OH)2,Mg<sub>3</sub>Si<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>,Tlc,9.EC.05,Monoclinic,Either prismatic (2m) or pinacoidal (1),,,"Light to dark green, brown, white, grey, colorless",Perfect on {001} basal cleavage,1 (defining mineral),White jot to pearl black,2.58 to 2.83,Waxlike or pearly,"Foliated to fibrous masses, rare as platey to pyramidal crystals",,
Talmessite,https://en.wikipedia.org/wiki/Talmessite,Arsenate mineral,Ca2Mg(AsO4)2·2H2O,Ca<sub>2</sub>·2H<sub>2</sub>O,Tlm,8.CG.05,Triclinic,Pinacoidal,1,1,,,5,White,"3.421, cobaltoan varieties 3.574",,"Prismatic crystals, radiating fibrous aggregates",,"Talmessite is a hydrated calcium magnesium arsenate, often with significant amounts of cobalt or nickel.  It was named in 1960 for the type locality, the Talmessi mine, Anarak district, Iran. It forms a series with β-Roselite, where cobalt replaces some of the magnesium, and with gaitite, where zinc replaces the magnesium.  All these minerals are members of the fairfieldite group. Talmessite is dimorphic with wendwilsonite (which is not a member of this group)."
Talnakhite,https://en.wikipedia.org/wiki/Talnakhite,Sulfide mineral,"Cu9(Fe, Ni)8S16","Cu<sub>9</sub>(Fe,Ni)<sub>8</sub>S<sub>16</sub>",Tlk,2.CB.10b,Isometric,Hextetrahedral,43m,4 3m,"Brass-yellow, tarnishes to pink or brown tints, then iridescent",,,,,Metallic,,,"Talnakhite is a mineral of chalcopyrite group with formula: Cu9(Fe, Ni)8S16. It was named after the Talnakh ore deposit, near Norilsk in Western Siberia, Russia where it was discovered as reported in 1963 by I. Budko and E. Kulagov. It was officially named ""talnakhite"" in 1968. Despite the initial announcement it turned out to be not a face centered high-temperature polymorph of chalcopyrite, but to have composition Cu18(Fe, Ni)18S32. At 80 °C (176 °F) to 100 °C (212 °F) it decomposes to tetragonal cubanite plus bornite."
Tamarugite,https://en.wikipedia.org/wiki/Tamarugite,Sulfate mineral,NaAl(SO4)2 · 6H2O,NaAl(SO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,Tmr,7.CC.10,Monoclinic,Prismatic,2/m,,Colorless,{010} perfect,3,,2.07,Vitreous,"Prismatic, tabular",,Tamarugite (NaAl(SO4)2·6H2O) is a colorless monoclinic sulfate mineral.
Tangeite,https://en.wikipedia.org/wiki/Tangeite,Phosphate mineral,CaCu(VO4)(OH),CaCu(VO<sub>4</sub>)(OH),Tg,8.BH.35,Orthorhombic,Disphenoidal,222,2 2 2,"Yellow, yellow-green, olive green, green to dark green","Perfect on {010}, good on {001}",3.5,Light yellow green,3.75 - 3.84,"Vitreous, pearly on cleavage faces","Rarely as short prismatic crystals, commonly as fibrous to botryoidal encrustations",,"Tangeite, also known as calciovolborthite, is a calcium, copper vanadate mineral with formula: CaCu(VO4)(OH). It occurs as a secondary mineral that can be found in sandstone and also in the oxidized zones of vanadium bearing deposits."
